"","visit_date","visitors"
"204402",2016-01-01,34
"204403",2016-01-02,43
"204404",2016-01-03,30
"204405",2016-01-05,38
"204406",2016-01-06,22
"204407",2016-01-07,18
"204408",2016-01-08,18
"204409",2016-01-09,47
"204410",2016-01-10,47
"204411",2016-01-11,43
"204412",2016-01-12,21
"204413",2016-01-13,11
"204414",2016-01-14,20
"204415",2016-01-15,21
"204416",2016-01-16,50
"204417",2016-01-17,49
"204418",2016-01-18,11
"204419",2016-01-19,20
"204420",2016-01-20,17
"204421",2016-01-21,13
"204422",2016-01-22,22
"204423",2016-01-23,51
"204424",2016-01-24,47
"204425",2016-01-25,30
"204426",2016-01-26,14
"204427",2016-01-27,20
"204428",2016-01-28,22
"204429",2016-01-29,31
"204430",2016-01-30,45
"204431",2016-01-31,56
"204432",2016-02-01,17
"204433",2016-02-02,9
"204434",2016-02-03,16
"204435",2016-02-04,15
"204436",2016-02-05,17
"204437",2016-02-06,42
"204438",2016-02-07,42
"204439",2016-02-08,21
"204440",2016-02-09,24
"204441",2016-02-10,34
"204442",2016-02-11,47
"204443",2016-02-12,23
"204444",2016-02-13,43
"204445",2016-02-14,55
"204446",2016-02-15,31
"204447",2016-02-16,17
"204448",2016-02-17,21
"204449",2016-02-18,22
"204450",2016-02-19,36
"204451",2016-02-20,51
"204452",2016-02-21,32
"204453",2016-02-22,12
"204454",2016-02-23,21
"204455",2016-02-24,12
"204456",2016-02-25,30
"204457",2016-02-26,24
"204458",2016-02-27,48
"204459",2016-02-28,68
"204460",2016-02-29,24
"204461",2016-03-01,23
"204462",2016-03-02,14
"204463",2016-03-03,17
"204464",2016-03-04,30
"204465",2016-03-05,60
"204466",2016-03-06,66
"204467",2016-03-07,20
"204468",2016-03-08,24
"204469",2016-03-09,19
"204470",2016-03-10,23
"204471",2016-03-11,20
"204472",2016-03-12,61
"204473",2016-03-13,60
"204474",2016-03-14,14
"204475",2016-03-15,18
"204476",2016-03-16,18
"204477",2016-03-17,27
"204478",2016-03-18,56
"204479",2016-03-19,44
"204480",2016-03-20,47
"204481",2016-03-21,52
"204482",2016-03-22,22
"204483",2016-03-23,14
"204484",2016-03-24,17
"204485",2016-03-25,57
"204486",2016-03-26,59
"204487",2016-03-27,44
"204488",2016-03-28,19
"204489",2016-03-29,22
"204490",2016-03-30,12
"204491",2016-03-31,25
"204492",2016-04-01,31
"204493",2016-04-02,50
"204494",2016-04-03,45
"204495",2016-04-04,32
"204496",2016-04-05,22
"204497",2016-04-06,18
"204498",2016-04-07,17
"204499",2016-04-08,36
"204500",2016-04-09,51
"204501",2016-04-10,41
"204502",2016-04-11,17
"204503",2016-04-12,9
"204504",2016-04-13,17
"204505",2016-04-14,11
"204506",2016-04-15,29
"204507",2016-04-16,57
"204508",2016-04-17,43
"204509",2016-04-18,18
"204510",2016-04-19,19
"204511",2016-04-20,12
"204512",2016-04-21,22
"204513",2016-04-22,23
"204514",2016-04-23,39
"204515",2016-04-24,36
"204516",2016-04-25,16
"204517",2016-04-26,11
"204518",2016-04-27,18
"204519",2016-04-28,26
"204520",2016-04-29,67
"204521",2016-04-30,71
"204522",2016-05-01,49
"204523",2016-05-02,33
"204524",2016-05-03,58
"204525",2016-05-04,74
"204526",2016-05-05,54
"204527",2016-05-06,17
"204528",2016-05-07,39
"204529",2016-05-08,59
"204530",2016-05-09,7
"204531",2016-05-10,12
"204532",2016-05-11,29
"204533",2016-05-12,26
"204534",2016-05-13,30
"204535",2016-05-14,71
"204536",2016-05-15,52
"204537",2016-05-16,24
"204538",2016-05-17,18
"204539",2016-05-18,8
"204540",2016-05-19,12
"204541",2016-05-20,20
"204542",2016-05-21,54
"204543",2016-05-22,47
"204544",2016-05-23,12
"204545",2016-05-24,13
"204546",2016-05-25,30
"204547",2016-05-26,21
"204548",2016-05-27,34
"204549",2016-05-28,83
"204550",2016-05-29,53
"204551",2016-05-30,8
"204552",2016-05-31,21
"204553",2016-06-01,17
"204554",2016-06-02,23
"204555",2016-06-03,20
"204556",2016-06-04,44
"204557",2016-06-05,50
"204558",2016-06-06,21
"204559",2016-06-07,19
"204560",2016-06-08,18
"204561",2016-06-09,22
"204562",2016-06-10,47
"204563",2016-06-11,43
"204564",2016-06-12,52
"204565",2016-06-13,6
"204566",2016-06-14,23
"204567",2016-06-15,14
"204568",2016-06-16,14
"204569",2016-06-17,32
"204570",2016-06-18,60
"204571",2016-06-19,43
"204572",2016-06-20,20
"204573",2016-06-21,19
"204574",2016-06-22,12
"204575",2016-06-23,16
"204576",2016-06-24,23
"204577",2016-06-25,81
"204578",2016-06-26,57
"204579",2016-06-27,42
"204580",2016-06-28,18
"204581",2016-06-29,51
"204582",2016-06-30,23
"204583",2016-07-01,22
"204584",2016-07-02,51
"204585",2016-07-03,58
"204586",2016-07-04,11
"204587",2016-07-05,27
"204588",2016-07-06,18
"204589",2016-07-07,37
"204590",2016-07-08,28
"204591",2016-07-09,76
"204592",2016-07-10,60
"204593",2016-07-11,18
"204594",2016-07-12,14
"204595",2016-07-13,7
"204596",2016-07-14,18
"204597",2016-07-15,33
"204598",2016-07-16,44
"204599",2016-07-17,57
"204600",2016-07-18,51
"204601",2016-07-19,14
"204602",2016-07-20,8
"204603",2016-07-21,10
"204604",2016-07-22,20
"204605",2016-07-23,69
"204606",2016-07-24,48
"204607",2016-07-25,30
"204608",2016-07-26,23
"204609",2016-07-27,18
"204610",2016-07-28,19
"204611",2016-07-29,38
"204612",2016-07-30,58
"204613",2016-07-31,58
"204614",2016-08-01,13
"204615",2016-08-02,12
"204616",2016-08-03,9
"204617",2016-08-04,24
"204618",2016-08-05,19
"204619",2016-08-06,52
"204620",2016-08-07,51
"204621",2016-08-08,20
"204622",2016-08-09,21
"204623",2016-08-10,20
"204624",2016-08-11,65
"204625",2016-08-12,35
"204626",2016-08-13,75
"204627",2016-08-14,49
"204628",2016-08-15,29
"204629",2016-08-16,23
"204630",2016-08-17,18
"204631",2016-08-18,13
"204632",2016-08-19,33
"204633",2016-08-20,65
"204634",2016-08-21,57
"204635",2016-08-22,23
"204636",2016-08-23,30
"204637",2016-08-24,6
"204638",2016-08-25,21
"204639",2016-08-26,25
"204640",2016-08-27,61
"204641",2016-08-28,33
"204642",2016-08-29,34
"204643",2016-08-30,21
"204644",2016-08-31,20
"204645",2016-09-01,14
"204646",2016-09-02,20
"204647",2016-09-03,48
"204648",2016-09-04,66
"204649",2016-09-05,23
"204650",2016-09-06,20
"204651",2016-09-07,17
"204652",2016-09-08,15
"204653",2016-09-09,25
"204654",2016-09-10,51
"204655",2016-09-11,32
"204656",2016-09-12,24
"204657",2016-09-13,10
"204658",2016-09-14,13
"204659",2016-09-15,23
"204660",2016-09-16,29
"204661",2016-09-17,99
"204662",2016-09-18,70
"204663",2016-09-19,31
"204664",2016-09-20,16
"204665",2016-09-21,21
"204666",2016-09-22,31
"204667",2016-09-23,54
"204668",2016-09-24,62
"204669",2016-09-25,47
"204670",2016-09-26,14
"204671",2016-09-27,18
"204672",2016-09-28,22
"204673",2016-09-29,16
"204674",2016-09-30,41
"204675",2016-10-01,55
"204676",2016-10-02,50
"204677",2016-10-03,17
"204678",2016-10-04,12
"204679",2016-10-05,8
"204680",2016-10-06,16
"204681",2016-10-07,28
"204682",2016-10-08,55
"204683",2016-10-09,55
"204684",2016-10-10,41
"204685",2016-10-11,14
"204686",2016-10-12,17
"204687",2016-10-13,13
"204688",2016-10-14,71
"204689",2016-10-15,54
"204690",2016-10-16,45
"204691",2016-10-17,7
"204692",2016-10-18,17
"204693",2016-10-19,23
"204694",2016-10-20,25
"204695",2016-10-21,22
"204696",2016-10-22,43
"204697",2016-10-23,24
"204698",2016-10-24,10
"204699",2016-10-25,25
"204700",2016-10-26,14
"204701",2016-10-27,16
"204702",2016-10-28,23
"204703",2016-10-29,55
"204704",2016-10-30,64
"204705",2016-10-31,39
"204706",2016-11-01,17
"204707",2016-11-02,23
"204708",2016-11-03,44
"204709",2016-11-04,23
"204710",2016-11-05,59
"204711",2016-11-06,40
"204712",2016-11-07,9
"204713",2016-11-08,20
"204714",2016-11-09,15
"204715",2016-11-10,12
"204716",2016-11-11,25
"204717",2016-11-12,44
"204718",2016-11-13,48
"204719",2016-11-14,17
"204720",2016-11-15,22
"204721",2016-11-16,26
"204722",2016-11-17,18
"204723",2016-11-18,24
"204724",2016-11-19,51
"204725",2016-11-20,34
"204726",2016-11-21,14
"204727",2016-11-22,18
"204728",2016-11-23,29
"204729",2016-11-24,20
"204730",2016-11-25,59
"204731",2016-11-26,60
"204732",2016-11-27,55
"204733",2016-11-28,17
"204734",2016-11-29,26
"204735",2016-11-30,13
"204736",2016-12-01,18
"204737",2016-12-02,19
"204738",2016-12-03,60
"204739",2016-12-04,60
"204740",2016-12-05,31
"204741",2016-12-06,24
"204742",2016-12-07,18
"204743",2016-12-08,15
"204744",2016-12-09,26
"204745",2016-12-10,78
"204746",2016-12-11,60
"204747",2016-12-12,10
"204748",2016-12-13,15
"204749",2016-12-14,19
"204750",2016-12-15,25
"204751",2016-12-16,23
"204752",2016-12-17,65
"204753",2016-12-18,32
"204754",2016-12-19,19
"204755",2016-12-20,15
"204756",2016-12-21,24
"204757",2016-12-22,33
"204758",2016-12-23,64
"204759",2016-12-24,81
"204760",2016-12-25,55
"204761",2016-12-26,22
"204762",2016-12-27,19
"204763",2016-12-28,36
"204764",2016-12-29,37
"204765",2016-12-30,37
"204766",2016-12-31,60
"204767",2017-01-01,55
"204768",2017-01-02,27
"204769",2017-01-03,16
"204770",2017-01-04,23
"204771",2017-01-05,28
"204772",2017-01-06,21
"204773",2017-01-07,39
"204774",2017-01-08,41
"204775",2017-01-09,33
"204776",2017-01-11,12
"204777",2017-01-12,16
"204778",2017-01-13,16
"204779",2017-01-14,55
"204780",2017-01-15,55
"204781",2017-01-16,17
"204782",2017-01-17,19
"204783",2017-01-18,25
"204784",2017-01-19,19
"204785",2017-01-20,24
"204786",2017-01-21,57
"204787",2017-01-22,49
"204788",2017-01-23,16
"204789",2017-01-24,35
"204790",2017-01-25,22
"204791",2017-01-26,19
"204792",2017-01-27,29
"204793",2017-01-28,74
"204794",2017-01-29,63
"204795",2017-01-30,7
"204796",2017-01-31,31
"204797",2017-02-01,13
"204798",2017-02-02,18
"204799",2017-02-03,32
"204800",2017-02-04,58
"204801",2017-02-05,45
"204802",2017-02-06,25
"204803",2017-02-07,23
"204804",2017-02-08,19
"204805",2017-02-09,32
"204806",2017-02-10,24
"204807",2017-02-11,49
"204808",2017-02-12,58
"204809",2017-02-13,29
"204810",2017-02-14,43
"204811",2017-02-15,17
"204812",2017-02-16,20
"204813",2017-02-17,20
"204814",2017-02-18,61
"204815",2017-02-19,52
"204816",2017-02-20,14
"204817",2017-02-21,19
"204818",2017-02-22,25
"204819",2017-02-23,23
"204820",2017-02-24,34
"204821",2017-02-25,61
"204822",2017-02-26,57
"204823",2017-02-27,20
"204824",2017-02-28,40
"204825",2017-03-01,20
"204826",2017-03-02,27
"204827",2017-03-03,20
"204828",2017-03-04,62
"204829",2017-03-05,61
"204830",2017-03-06,19
"204831",2017-03-07,19
"204832",2017-03-08,35
"204833",2017-03-09,13
"204834",2017-03-10,34
"204835",2017-03-11,80
"204836",2017-03-12,38
"204837",2017-03-13,17
"204838",2017-03-14,22
"204839",2017-03-15,21
"204840",2017-03-16,24
"204841",2017-03-17,27
"204842",2017-03-18,30
"204843",2017-03-19,41
"204844",2017-03-20,58
"204845",2017-03-21,15
"204846",2017-03-22,14
"204847",2017-03-23,19
"204848",2017-03-24,13
"204849",2017-03-25,62
"204850",2017-03-26,48
"204851",2017-03-27,19
"204852",2017-03-28,20
"204853",2017-03-29,22
"204854",2017-03-30,13
"204855",2017-03-31,22
"204856",2017-04-01,36
"204857",2017-04-02,60
"204858",2017-04-03,17
"204859",2017-04-04,22
"204860",2017-04-05,20
"204861",2017-04-06,19
"204862",2017-04-07,38
"204863",2017-04-08,47
"204864",2017-04-09,67
"204865",2017-04-10,19
"204866",2017-04-11,17
"204867",2017-04-12,15
"204868",2017-04-13,12
"204869",2017-04-14,40
"204870",2017-04-15,66
"204871",2017-04-16,62
"204872",2017-04-17,24
"204873",2017-04-18,13
"204874",2017-04-19,30
"204875",2017-04-20,19
"204876",2017-04-21,21
"204877",2017-04-22,50
